iterate,theta1,theta10,theta11,logtau
1,2.2757593412502238e-6,1.7100413077858117e-6,4.316270406012676e-6,0.0
2,2.6550806584451392e-6,2.7036491127021028e-6,5.677961968615865e-6,-0.7636219032333321
3,7.564341589265038e-6,7.65852552665763e-6,1.2709118240685756e-5,-0.9820943673518546
4,9.413378882923309e-6,9.518389196730134e-6,1.4988938784406157e-5,-0.61394104720292
5,6.491414683022642e-6,4.937141074107827e-6,9.421789174210525e-6,-0.7842679779889621
6,8.377072606454983e-6,6.634844344487123e-6,8.110492973003375e-6,-0.5399169974845406
7,6.3496838563754315e-6,4.879006352503257e-6,6.121838817370057e-6,-0.5399169974845406
8,9.169691158252153e-6,4.401816461353878e-6,5.908843680192037e-6,-0.5028103472784133
9,8.816622909956617e-6,4.174562075998013e-6,5.6347683063934526e-6,-0.5028103472784133
10,6.743846186350193e-6,4.741454505533629e-6,6.67082727630433e-6,-0.5028103472784133
11,6.743846186350193e-6,4.741454505533629e-6,6.67082727630433e-6,-0.9473532970750979
12,1.7148817433661273e-5,8.071546831883351e-6,1.1054649329844472e-5,-0.796308949658578
13,1.7941961417826013e-5,7.598043696879764e-6,1.1270484434128183e-5,-0.796308949658578
14,8.696191337796562e-6,3.7532829685490037e-6,6.0084074238760695e-6,-0.796308949658578
15,7.799551815737426e-6,2.3342888993454293e-6,3.5513593270617016e-6,-1.6036728981796282
16,1.2207716805955441e-5,5.520921968048211e-6,8.544513634663254e-6,-1.6036728981796282
17,1.2207716805955441e-5,5.520921968048211e-6,8.544513634663254e-6,-1.6036728981796282
18,8.571975770530302e-6,3.8565474313038104e-6,6.354101729922252e-6,-2.0920979640532127
19,1.3139514111514873e-5,7.028442591036564e-6,1.0392656848559942e-5,-2.0920979640532127
20,1.3565849115309704e-5,8.027004388314364e-6,1.1781708330092883e-5,-1.5318955311690934
21,8.364409936572648e-6,4.1770736005073305e-6,6.940653087568779e-6,-1.6272272893545552
22,6.533640292781586e-6,4.934558501522031e-6,6.612338502667131e-6,-1.6272272893545552
23,6.533640292781586e-6,4.934558501522031e-6,6.612338502667131e-6,-1.6272272893545552
24,6.099092610563265e-6,5.264992085690767e-6,7.093686491132566e-6,-1.6272272893545552
25,3.985470619965784e-6,5.434476024402731e-6,7.69314475594533e-6,-1.675338490858274
26,4.651605568670011e-6,6.771871875293279e-6,8.673321441696457e-6,-1.675338490858274
27,4.553586109189547e-6,9.058121135487661e-6,1.1615064505985758e-5,-1.3291333688947786
28,3.4910518656563037e-6,4.941866480214607e-6,6.910805814588589e-6,-1.4806755522705493
29,4.554127319761657e-6,6.720904521081443e-6,8.832508822592097e-6,-1.4806755522705493
30,4.554127319761657e-6,6.720904521081443e-6,8.832508822592097e-6,-1.4806755522705493
31,5.730889479300529e-6,6.676022799993718e-6,7.78627424211758e-6,-1.8370044806179302
32,9.136445271441121e-6,8.345203865076376e-6,8.776044882604688e-6,-2.522055607922138
33,1.5589462495760273e-5,1.461842246413453e-5,1.5150323274256474e-5,-2.6929511429377504
34,1.553557396332674e-5,1.981946225673354e-5,1.908140067989767e-5,-2.6929511429377504
35,1.5063043823512769e-5,1.7566092221806598e-5,1.642444743220299e-5,-2.790579959485586
36,1.6800398274967922e-5,1.9022816646478223e-5,1.802180349067438e-5,-2.686671505638797
37,1.8255927793901535e-5,1.79589181254709e-5,1.9145459793617775e-5,-2.686671505638797
38,1.8255927793901535e-5,1.79589181254709e-5,1.9145459793617775e-5,-1.6179702952518984
39,7.384425177458642e-6,7.468663142567284e-6,7.950321006283798e-6,-1.6179702952518984
40,6.574329020037353e-6,8.071202486612058e-6,9.12683297158441e-6,-1.6179702952518984
41,6.574329020037353e-6,8.071202486612058e-6,9.12683297158441e-6,-1.4336675997011383
42,5.260404623616281e-6,6.587271694609546e-6,7.537727416001064e-6,-1.4336675997011383
43,6.666667437369276e-6,6.959104815850214e-6,8.301720647305482e-6,-1.2487686357671737
44,5.311897043617416e-6,5.56801129722614e-6,6.756714597649335e-6,-1.2487686357671737
45,5.381470281458573e-6,5.851181810555908e-6,6.930164818089479e-6,-1.368337833291652
46,5.955390055788718e-6,6.769862489349116e-6,7.858068067160178e-6,-1.5202858784641842
47,6.125879367522718e-6,5.760557548856157e-6,6.192519374764901e-6,-1.5202858784641842
48,6.125879367522718e-6,5.760557548856157e-6,6.192519374764901e-6,-1.3971660596112532
49,8.25990345190195e-6,5.850905846610206e-6,7.308014760400199e-6,-1.3971660596112532
50,6.957526594113363e-6,5.210593196805861e-6,6.601361120019182e-6,-1.3971660596112532
51,5.230223694475637e-6,7.725029188113013e-6,9.044844557697884e-6,-1.4819046054235725
52,7.802078852845798e-6,1.067598996241393e-5,1.0561256695681e-5,-1.43344727500163
53,7.652869322928515e-6,9.354986488663093e-6,9.768755762297373e-6,-1.43344727500163
54,7.652869322928515e-6,9.354986488663093e-6,9.768755762297373e-6,-1.3581634806119125
55,7.066192226739478e-6,8.704623106429677e-6,9.104729844419224e-6,-0.9289054244489682
56,4.063859691821373e-6,5.647230157448484e-6,6.280903799723835e-6,-1.260664910356295
57,4.290073470632876e-6,5.979934766477123e-6,6.09925414496929e-6,-1.7078445545112526
