w,iterate,binID
0.0004812011486375318,1,"[1,1]"
1.8545879351381508e-6,2,"[1,1]"
0.0008802611413816881,3,"[1,1]"
0.004525046187214208,4,"[1,1]"
0.004489508035027015,5,"[1,1]"
0.0038585130626194617,6,"[1,1]"
0.004182198276649888,7,"[1,1]"
0.0015062574808263837,8,"[1,1]"
7.698020774551976e-14,9,"[1,1]"
1.1078054581177203e-14,10,"[1,1]"
0.00048600204100876667,11,"[1,1]"
0.0034064407848969527,12,"[1,1]"
0.011344348820321945,13,"[1,1]"
0.017621297456926484,14,"[1,1]"
0.013533073333207298,15,"[1,1]"
0.013266107563523491,16,"[1,1]"
0.013931464572325185,17,"[1,1]"
0.008058462852448437,18,"[1,1]"
0.004411519636312612,19,"[1,1]"
0.006676145541131201,20,"[1,1]"
0.0011123051332661072,21,"[1,1]"
0.004262503438013865,22,"[1,1]"
0.0023766446637802346,23,"[1,1]"
0.009439119996915825,24,"[1,1]"
0.003697550762432854,25,"[1,1]"
0.00013716010924558658,26,"[1,1]"
0.0017882718144376741,27,"[1,1]"
0.0012699106379904586,28,"[1,1]"
2.6182295757477812e-8,29,"[1,1]"
2.615416138131064e-9,30,"[1,1]"
2.307446887536615e-5,31,"[1,1]"
0.0003087382821763454,32,"[1,1]"
0.0010140207594427483,33,"[1,1]"
0.0001377838156219576,34,"[1,1]"
1.9510177050978936e-7,35,"[1,1]"
1.8999274193737996e-8,36,"[1,1]"
0.0001532025769038135,37,"[1,1]"
1.0098953782334918e-11,38,"[1,1]"
2.8285692599608876e-6,39,"[1,1]"
4.4994919137276874e-8,40,"[1,1]"
2.3261401229571377e-11,41,"[1,1]"
0.0011582269430591688,42,"[1,1]"
1.8939861767997075e-24,43,"[1,1]"
3.8686339396688076e-5,44,"[1,1]"
2.404895639052328e-7,45,"[1,1]"
1.3013384485070857e-6,46,"[1,1]"
2.305102716637535e-10,47,"[1,1]"
0.0011891862044953328,48,"[1,1]"
5.906403527790181e-6,49,"[1,1]"
3.6719851900380864e-5,50,"[1,1]"
0.0006654028922254097,51,"[1,1]"
0.0007887776852095389,52,"[1,1]"
0.0016037600632701535,53,"[1,1]"
0.0034958943531818725,54,"[1,1]"
0.002580482179133248,55,"[1,1]"
0.0028399041467283364,56,"[1,1]"
0.008544587557901858,57,"[1,1]"
0.016793519975096278,58,"[1,1]"
0.026323911599060317,59,"[1,1]"
0.019755128680001233,60,"[1,1]"
0.012965048029656444,61,"[1,1]"
0.016831652128255284,62,"[1,1]"
0.014553384396162536,63,"[1,1]"
0.009880523368277293,64,"[1,1]"
0.005791411464258399,65,"[1,1]"
0.0015163955688938151,66,"[1,1]"
0.006430568986830613,67,"[1,1]"
0.002732438372701244,68,"[1,1]"
0.0055831670647065335,69,"[1,1]"
0.01785186789769384,70,"[1,1]"
0.021014643786959674,71,"[1,1]"
0.005547528840986429,72,"[1,1]"
0.0013239966853430256,73,"[1,1]"
0.0021660017220445317,74,"[1,1]"
0.00010557778418803566,75,"[1,1]"
1.9780774272564193e-11,76,"[1,1]"
0.0019428781422411497,77,"[1,1]"
0.005700395656799293,78,"[1,1]"
0.01106249144123827,79,"[1,1]"
0.006772737500685431,80,"[1,1]"
0.013478354831868431,81,"[1,1]"
0.02045222328172812,82,"[1,1]"
0.007207369205532445,83,"[1,1]"
0.005659187345994682,84,"[1,1]"
0.00289793399677968,85,"[1,1]"
0.0035761462532332314,86,"[1,1]"
0.000976931917967993,87,"[1,1]"
0.009786031351554697,88,"[1,1]"
0.007318891781558214,89,"[1,1]"
0.0024909459088222246,90,"[1,1]"
0.0010481886720375782,91,"[1,1]"
5.676904769079494e-7,92,"[1,1]"
2.334228333840741e-5,93,"[1,1]"
1.964451192589548e-9,94,"[1,1]"
0.0002900302041217302,95,"[1,1]"
2.2919573353087106e-5,96,"[1,1]"
5.08438546704614e-9,97,"[1,1]"
0.00016643775740465076,98,"[1,1]"
9.27622044874634e-25,99,"[1,1]"
3.1481101790499975e-15,100,"[1,1]"
0.004051815057459938,1,"[2,1]"
0.0003316786677443742,2,"[2,1]"
2.9481571407588145e-9,3,"[2,1]"
0.0008846692734888494,4,"[2,1]"
0.00012435555911506142,5,"[2,1]"
8.892121896336672e-8,6,"[2,1]"
9.453850576552859e-8,7,"[2,1]"
1.5966974568543483e-5,8,"[2,1]"
2.1311283204925556e-6,9,"[2,1]"
8.917151073538078e-8,10,"[2,1]"
0.0006664033759513697,11,"[2,1]"
8.853168886563623e-5,12,"[2,1]"
0.0017494315505032889,13,"[2,1]"
0.003468457888463166,14,"[2,1]"
0.002755155957175924,15,"[2,1]"
1.5457614838094253e-7,16,"[2,1]"
2.5774898405457864e-6,17,"[2,1]"
5.40254123604523e-10,18,"[2,1]"
0.002523434979903829,19,"[2,1]"
0.0007769310888790018,20,"[2,1]"
1.7163394589222173e-9,21,"[2,1]"
4.9426587495733976e-6,22,"[2,1]"
1.1572901719785504e-8,23,"[2,1]"
1.6035934979215324e-7,24,"[2,1]"
4.0649044435539745e-7,25,"[2,1]"
0.0068605516363859625,26,"[2,1]"
0.0010599032766398175,27,"[2,1]"
4.916140327452194e-5,28,"[2,1]"
2.548474703822494e-6,29,"[2,1]"
2.4181258212980045e-5,30,"[2,1]"
0.0016946993352215168,31,"[2,1]"
0.002236360183737439,32,"[2,1]"
