binprob,loss,x,y,method
0.004270045931813979,0.001085986706283982,0.1,0.1,D
0.004812230184633557,0.0005172807470531541,0.1,0.2,D
0.01311586229886763,0.00021056699050844849,0.1,0.3,D
0.005545380053279804,4.593413293315517e-5,0.1,0.4,D
0.007268041354946642,3.076362233134987e-5,0.1,0.5,D
0.010579357442241694,7.913824803062857e-5,0.1,0.6,D
0.0075254475331809935,8.980337725422647e-5,0.1,0.7,D
0.006579650687757621,0.0005302961051089312,0.1,0.8,D
0.013828103035573816,0.0007533674780784577,0.1,0.9,D
0.018042674213059252,0.00012012230703648855,0.1,1.0,D
0.0042374406816416115,0.0008075305278030753,0.2,0.1,D
0.004891653645970009,0.0003745020182978291,0.2,0.2,D
0.013041407105844173,0.0001526314864112548,0.2,0.3,D
0.005904757343116097,3.532568975019285e-5,0.2,0.4,D
0.007116286991334323,5.483495187706574e-5,0.2,0.5,D
0.010949775917700898,4.9582965333807547e-5,0.2,0.6,D
0.008098669920291924,5.4177275404370126e-5,0.2,0.7,D
0.0069445634330888,0.00012427618212017643,0.2,0.8,D
0.014370847347196007,0.0012555752076538642,0.2,0.9,D
0.018858998978820523,0.00010335946413776977,0.2,1.0,D
0.004392480965190482,0.010249733671631817,0.3,0.1,D
0.005166039535112717,0.00819137091202762,0.3,0.2,D
0.015165823165117841,0.01035106272911133,0.3,0.3,D
0.0058670665730951805,0.006711116197083681,0.3,0.4,D
0.007521276110540778,0.0011833671877756224,0.3,0.5,D
0.010390988372607674,0.002251595183069587,0.3,0.6,D
0.008109788405659034,4.307569231908399e-5,0.3,0.7,D
0.0069675731432257025,0.0011198793842348252,0.3,0.8,D
0.015880228373541784,0.0016074717594881012,0.3,0.9,D
0.012112305198570905,0.00018898027312015314,0.3,1.0,D
0.004540994142911812,0.00025548661757417537,0.4,0.1,D
0.005431960913550362,9.852525165891622e-5,0.4,0.2,D
0.014181961580462853,1.8433796265532596e-5,0.4,0.3,D
0.006140876347390298,9.047601171401097e-5,0.4,0.4,D
0.007992786597746921,0.00021276572085075676,0.4,0.5,D
0.008421687884673443,8.397291980954669e-5,0.4,0.6,D
0.00850255086080608,0.00022901459903447015,0.4,0.7,D
0.007542309009279698,0.0011657873982110027,0.4,0.8,D
0.015540182268459631,0.0028357225523827053,0.4,0.9,D
0.010537887634253952,0.00019832876751452595,0.4,1.0,D
0.004624540872202003,0.0005310678254414868,0.5,0.1,D
0.005382195134282684,0.00014127633136889022,0.5,0.2,D
0.010415699812789397,4.3839545008719224e-5,0.5,0.3,D
0.00659964627974183,1.6671869983873147e-5,0.5,0.4,D
0.008447224804441393,4.722270834915175e-5,0.5,0.5,D
0.0075927145978505325,7.413271876440435e-5,0.5,0.6,D
0.0073452899404321806,0.002172468034054032,0.5,0.7,D
0.008227863146746076,0.0033711329872450225,0.5,0.8,D
0.010613936080362424,0.0034268610548467185,0.5,0.9,D
0.011473684573405377,0.0011413715205084685,0.5,1.0,D
0.005209610340629623,0.0021137181250481052,0.6,0.1,D
0.006426272724483654,0.0015767396466716639,0.6,0.2,D
0.012727503058066612,0.000588349206461178,0.6,0.3,D
0.008179596116885837,5.011115694001465e-5,0.6,0.4,D
0.009241936334482793,0.000596168967406857,0.6,0.5,D
0.008984616807972239,0.0004228436077374658,0.6,0.6,D
0.006777497193037734,1.765497443675914e-5,0.6,0.7,D
0.010318132840256889,0.0020156490163534928,0.6,0.8,D
0.014665729137386427,5.3350108845573826e-5,0.6,0.9,D
0.017781436514805387,0.0017247903107023659,0.6,1.0,D
0.006144799961485267,4.427617767926597e-5,0.7,0.1,D
0.0073875409504489,1.7640241983708147e-5,0.7,0.2,D
0.009513897126401936,9.591433493657427e-5,0.7,0.3,D
0.008542783707311083,0.00024090205911392817,0.7,0.4,D
0.006356939191236701,0.0013523572286172835,0.7,0.5,D
0.012099413669587859,0.002744120223539536,0.7,0.6,D
0.008269087898492693,0.002254819597885488,0.7,0.7,D
0.013606636570790821,0.0005825921299357466,0.7,0.8,D
0.011128829900857916,0.0020505745991939496,0.7,0.9,D
0.025773225135817694,2.3730042568132675e-5,0.7,1.0,D
0.005733660576078107,0.0002184058835454084,0.8,0.1,D
0.007962649936359437,0.00043914861472623963,0.8,0.2,D
0.006678535386959309,0.0009362279308352752,0.8,0.3,D
0.007610131666945856,0.001212229365397509,0.8,0.4,D
0.006208224520426963,0.0014395683106343143,0.8,0.5,D
0.017470998042592768,0.0007359078129175295,0.8,0.6,D
0.011621081205107926,3.2140145410587956e-5,0.8,0.7,D
0.01883056860774629,0.0014839922525317786,0.8,0.8,D
0.013292536222942556,0.006265998534583641,0.8,0.9,D
0.014561132429565207,0.0023307241001440542,0.8,1.0,D
0.006285776701500425,0.0023477245588783766,0.9,0.1,D
0.006480186736505474,0.0019270973199157048,0.9,0.2,D
0.007011510194545513,0.002398329564458901,0.9,0.3,D
0.006690521790499527,0.0012699557160582616,0.9,0.4,D
0.007160313032207928,0.0005859967695262874,0.9,0.5,D
0.014605668574212883,6.098619510319498e-5,0.9,0.6,D
0.01049011315826296,0.0015152624603158348,0.9,0.7,D
0.008094728424704841,0.0007497026770744892,0.9,0.8,D
0.01116864649552409,0.003417135036083008,0.9,0.9,D
0.016059940859567946,0.002667902418686193,0.9,1.0,D
0.011017131458415388,0.006485127516407498,1.0,0.1,D
0.011931089670606987,0.00619305316157687,1.0,0.2,D
0.013312682773763275,1.7927912429271837e-5,1.0,0.3,D
0.0116521791630641,0.000622866396822627,1.0,0.4,D
0.010646338040526733,0.0006548936301316603,1.0,0.5,D
0.019132945250103964,0.0007903055752559449,1.0,0.6,D
0.015734229875616793,0.009568259622204566,1.0,0.7,D
0.012189534914919994,0.0006114741692785224,1.0,0.8,D
0.012850984800935683,0.0003930496135040596,1.0,0.9,D
0.021269717884542606,0.0005318285942079276,1.0,1.0,D
0.004566183783262958,0.0012884333442674365,0.1,0.1,LNGL
0.0054835681833543745,0.0007311305113667732,0.1,0.2,LNGL
0.00935998486446458,0.00021396727236551688,0.1,0.3,LNGL
