pest,ptrue,x,y,type
0.006397861184347649,0.0017385451278764605,0.2,0.2,Dirichlet
0.008457308881910767,0.009348119532072215,0.2,0.4,Dirichlet
0.013282746472882627,0.024335637471561894,0.2,0.6,Dirichlet
0.0018557083987522432,0.05167593992541951,0.2,0.8,Dirichlet
0.007453233701104365,0.11290175794306993,0.2,1.0,Dirichlet
0.02849126703189747,0.009348119532072215,0.4,0.2,Dirichlet
0.0470647391245354,0.029392020499360634,0.4,0.4,Dirichlet
0.037701091786028845,0.048210008814893124,0.4,0.6,Dirichlet
0.08658303728414288,0.061373911228254724,0.4,0.8,Dirichlet
0.04653693884606619,0.051675939925419426,0.4,1.0,Dirichlet
0.06840998397535906,0.024335637471561894,0.6,0.2,Dirichlet
0.06576779921848017,0.048210008814893124,0.6,0.4,Dirichlet
0.018622512390893204,0.05490870742708967,0.6,0.6,Dirichlet
0.01405860058008934,0.048210008814893165,0.6,0.8,Dirichlet
0.03506154555704083,0.024335637471561866,0.6,1.0,Dirichlet
0.05634226444850024,0.05167593992541951,0.8,0.2,Dirichlet
0.010964356355796222,0.06137391122825474,0.8,0.4,Dirichlet
0.0202304987619345,0.048210008814893165,0.8,0.6,Dirichlet
0.15673963227303628,0.029392020499360683,0.8,0.8,Dirichlet
0.027793309114046212,0.009348119532072208,0.8,1.0,Dirichlet
0.04226996721229632,0.11290175794306993,1.0,0.2,Dirichlet
0.03802825017643091,0.051675939925419426,1.0,0.4,Dirichlet
0.06068805892448772,0.024335637471561866,1.0,0.6,Dirichlet
0.06246642400709116,0.009348119532072208,1.0,0.8,Dirichlet
0.03873286429284927,0.001738545127876412,1.0,1.0,Dirichlet
0.02049863136003499,0.0017385451278764605,0.2,0.2,Graph Laplacian
0.034873467955593145,0.009348119532072215,0.2,0.4,Graph Laplacian
0.04379725515121458,0.024335637471561894,0.2,0.6,Graph Laplacian
0.045198142577849494,0.05167593992541951,0.2,0.8,Graph Laplacian
0.04486345821002235,0.11290175794306993,0.2,1.0,Graph Laplacian
0.02194292800379899,0.009348119532072215,0.4,0.2,Graph Laplacian
0.03653391126905232,0.029392020499360634,0.4,0.4,Graph Laplacian
0.04514680462794906,0.048210008814893124,0.4,0.6,Graph Laplacian
0.04385404806245163,0.061373911228254724,0.4,0.8,Graph Laplacian
0.044529993902198764,0.051675939925419426,0.4,1.0,Graph Laplacian
0.024811934683195994,0.024335637471561894,0.6,0.2,Graph Laplacian
0.03934358350422345,0.048210008814893124,0.6,0.4,Graph Laplacian
0.045131705341507726,0.05490870742708967,0.6,0.6,Graph Laplacian
0.046632277427119846,0.048210008814893165,0.6,0.8,Graph Laplacian
0.04890282768630389,0.024335637471561866,0.6,1.0,Graph Laplacian
0.02607731398617046,0.05167593992541951,0.8,0.2,Graph Laplacian
0.041172179962314606,0.06137391122825474,0.8,0.4,Graph Laplacian
0.04420350668538149,0.048210008814893165,0.8,0.6,Graph Laplacian
0.05062912052490457,0.029392020499360683,0.8,0.8,Graph Laplacian
0.05145288793706075,0.009348119532072208,0.8,1.0,Graph Laplacian
0.02870901526026997,0.11290175794306993,1.0,0.2,Graph Laplacian
0.03706808403062095,0.051675939925419426,1.0,0.4,Graph Laplacian
0.04166756463012748,0.024335637471561866,1.0,0.6,Graph Laplacian
0.045168262495287666,0.009348119532072208,1.0,0.8,Graph Laplacian
0.04779109472534585,0.001738545127876412,1.0,1.0,Graph Laplacian
